iter	RMSE
0	1.222541989
1	1.170005394
2	1.122166384
3	1.078474449
4	1.03971354
5	1.002333538
6	0.968129276
7	0.9382335079
8	0.9097996947
9	0.8837994596
10	0.8601244277
11	0.8384434515
12	0.8188372119
13	0.8011473861
14	0.7850664542
15	0.7703614051
16	0.7563706657
17	0.7443030072
18	0.7334604075
19	0.7230676569
20	0.7139145411
21	0.7055487365
22	0.697706553
23	0.6906777708
24	0.6845271018
25	0.6786539655
26	0.6732696489
27	0.6677197458
28	0.6631605349
29	0.6589089649
30	0.6550325514
31	0.6514607471
32	0.6480476372
33	0.6451198906
34	0.6422681687
35	0.6395971449
36	0.6371634172
37	0.6348821229
38	0.632937619
39	0.630939237
40	0.6290870187
41	0.6273535204
42	0.6256934997
43	0.6241208439
44	0.6228965797
45	0.6217368597
46	0.6204356309
47	0.6192141273
48	0.617901077
49	0.6168885534
50	0.6157869214
51	0.6148352065
52	0.6137813768
53	0.612850083
54	0.6119642209
55	0.6109607643
56	0.6101579863
57	0.6093373407
58	0.6086772218
59	0.6080142681
60	0.6072715115
61	0.6065013529
62	0.6057523911
63	0.6050882957
64	0.6044755876
65	0.6038379123
66	0.6030465477
67	0.6026075878
68	0.601937258
69	0.6013688159
70	0.6008633464
71	0.6003557022
72	0.5999140138
73	0.5994405024
74	0.5989316192
75	0.5984786504
76	0.5979209368
77	0.5974496925
78	0.5968055063
79	0.5962798875
80	0.5959130483
81	0.5955190355
82	0.5951098804
83	0.5947207324
84	0.5942318802
85	0.5938046886
86	0.5935445809
87	0.593239642
88	0.5928057863
89	0.5925566753
90	0.5919350123
91	0.5914299219
92	0.5909962128
93	0.5906171688
94	0.5902728238
95	0.5897996007
96	0.5894660042
97	0.5891791311
98	0.5887597148
99	0.588285746
100	0.5877188993
101	0.5873435761
102	0.5868149517
103	0.5863697875
104	0.5859735166
105	0.5855626992
106	0.5852988273
107	0.5850314498
108	0.5847682868
109	0.5845522549
110	0.5842263447
111	0.5839969493
112	0.5837770006
113	0.5835082127
114	0.583220753
115	0.5829759406
116	0.5827052191
117	0.5823504802
118	0.5820613255
119	0.5818749
120	0.581606255
121	0.5812399036
122	0.5809999514
123	0.5808035997
124	0.5804209033
125	0.5801153158
126	0.5797521232
127	0.5795825259
128	0.5793112788
129	0.5790829814
130	0.5789634263
131	0.5786821314
132	0.5784984185
133	0.5783237943
134	0.5782007926
135	0.5776517974
136	0.5775227177
137	0.577269517
138	0.5770722393
139	0.5766160832
140	0.5763036824
141	0.5761048359
142	0.5757319039
143	0.5756119282
144	0.5754237402
145	0.5752490093
146	0.575030228
147	0.57486987
148	0.5745765714
149	0.5743045987
150	0.5741783724
151	0.573918846
152	0.573570832
153	0.5732567198
154	0.5730398056
155	0.5727660481
156	0.5723646857
157	0.5720555393
158	0.5717841346
159	0.571508493
160	0.5712496439
161	0.5710946944
162	0.570880221
163	0.5706353744
164	0.5704116803
165	0.5701033862
166	0.5698169874
167	0.5695270702
168	0.569277152
169	0.5690206478
170	0.5687980951
171	0.5686798443
172	0.568471047
173	0.5683238113
174	0.5681923336
175	0.5680300277
176	0.5676797821
177	0.5675427967
178	0.5673703005
179	0.5671958481
180	0.5671032041
181	0.5669014275
182	0.5667059245
183	0.5665935838
184	0.5662516344
185	0.5659710929
186	0.5658456863
187	0.5656419199
188	0.5654799681
189	0.5653102246
190	0.5651902976
191	0.5650597913
192	0.5649133325
193	0.5647554868
194	0.5645562753
195	0.5642559303
196	0.5640793381
197	0.5639033406
198	0.5636743739
199	0.5635056861
200	0.5633429444
201	0.5631268732
202	0.5629838179
203	0.5628485759
204	0.5627128614
205	0.5624822124
206	0.5623644832
207	0.562164671
208	0.5621029036
209	0.5619006184
210	0.5618139604
211	0.5616277988
212	0.5614396346
213	0.5611593178
214	0.5609794552
215	0.560778496
216	0.5605280351
217	0.5602778688
218	0.5601110234
219	0.5600436522
220	0.5599422529
221	0.5598805411
222	0.5597604065
223	0.5596432021
224	0.5595044615
225	0.5593997238
226	0.5592764393
227	0.5591678853
228	0.5590502555
229	0.5589067771
230	0.5587761507
231	0.5585550673
232	0.5583604387
233	0.5582834874
234	0.5581345582
235	0.5579271588
236	0.5578197808
237	0.5576926122
238	0.5574334253
239	0.5572962676
240	0.5572152582
241	0.5570883072
242	0.5569003703
243	0.5567254663
244	0.5565966061
245	0.55640642
246	0.5563006538
247	0.5562496509
248	0.5560274561
249	0.5559726508
250	0.555776494
251	0.5556194046
252	0.5554926061
253	0.5553576982
254	0.5552248808
255	0.5551153918
256	0.5550119677
257	0.5548855303
258	0.5548590003
259	0.5547368139
260	0.5545260536
261	0.5544845172
262	0.5542728925
263	0.5540808539
264	0.5539478555
265	0.5536393938
266	0.5533801882
267	0.5532896712
268	0.5532270919
269	0.5531120852
270	0.5529340838
271	0.5528119737
272	0.5527501469
273	0.5526335172
274	0.5525298616
275	0.552331119
276	0.5522084809
277	0.5520908038
278	0.5520283398
279	0.5519480648
280	0.5518552665
281	0.5517741405
282	0.5514939224
283	0.5514000595
284	0.5512987596
285	0.5512352354
286	0.5510522055
287	0.5509260641
288	0.5508386147
289	0.5507182525
290	0.5506663908
291	0.5505731785
292	0.5505242002
293	0.5503921243
294	0.5503487819
295	0.5502283485
296	0.5500237134
297	0.54994347
298	0.5498795731
299	0.5497943717
300	0.5495434473
301	0.5493245632
302	0.5491823318
303	0.5491028315
304	0.5489940342
305	0.5488636115
306	0.548700878
307	0.5485457895
308	0.5484167595
309	0.5482967329
310	0.5482332584
311	0.5481378613
312	0.548100287
313	0.5479292815
314	0.5478333251
315	0.547711796
316	0.5476267096
317	0.5473843652
318	0.54714338
319	0.5470288146
320	0.546921887
321	0.5468374748
322	0.5467286979
323	0.5466359921
324	0.5465597282
325	0.5464878948
326	0.5463613705
327	0.5462660635
328	0.5462203988
329	0.5461337378
330	0.5459279851
331	0.5458246532
332	0.5456770075
333	0.5455227844
334	0.5454352861
335	0.5453451034
336	0.5452970725
337	0.5452298695
338	0.5451964738
339	0.5451184638
340	0.544941578
341	0.5448432591
342	0.5446735045
343	0.5444663995
344	0.5443446646
345	0.5442652585
346	0.5441917388
347	0.544111491
348	0.5439040627
349	0.5437807993
350	0.5436280975
351	0.5435490423
352	0.5433447904
353	0.5432989896
354	0.5432199594
